"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 06:49:16 GMT 2025","Thu Feb 06 06:49:17 GMT 2025","221","tests","Корзина","TestCartPage","","","Удаление товара из корзины",""
"passed","Thu Feb 06 06:49:26 GMT 2025","Thu Feb 06 06:49:27 GMT 2025","171","tests","Карточка товара","TestProductPage","","","Проверка добавления товара в корзину из карточки товара",""
"passed","Thu Feb 06 06:49:11 GMT 2025","Thu Feb 06 06:49:11 GMT 2025","176","tests","Страница все товары","TestAllProductsPage","","","Проверка добавления двух товаров в корзину со страницы все товары",""
"passed","Thu Feb 06 06:49:23 GMT 2025","Thu Feb 06 06:49:23 GMT 2025","333","tests","Страница завершения покупки","TestOverviewPage","","","Проверка отображения страницы Завершения покупки с добавленными товарами",""
"passed","Thu Feb 06 06:49:10 GMT 2025","Thu Feb 06 06:49:10 GMT 2025","34","tests","Страница все товары","TestAllProductsPage","","","Проверка отображения страницы все товары",""
"passed","Thu Feb 06 06:49:22 GMT 2025","Thu Feb 06 06:49:22 GMT 2025","269","tests","Страница завершения покупки","TestOverviewPage","","","Проверка корректности расчета суммы всех товаров",""
"passed","Thu Feb 06 06:49:20 GMT 2025","Thu Feb 06 06:49:20 GMT 2025","343","tests","Авторизация","TestLoginPage","","","Авторизация с не корректным логином или паролем",""
"passed","Thu Feb 06 06:49:12 GMT 2025","Thu Feb 06 06:49:12 GMT 2025","323","tests","Страница все товары","TestAllProductsPage","","","Удаление товаров со страницы Все товары",""
"passed","Thu Feb 06 06:49:15 GMT 2025","Thu Feb 06 06:49:15 GMT 2025","59","tests","Страница все товары","TestAllProductsPage","","","Фильтрация товаров по цене",""
"passed","Thu Feb 06 06:49:27 GMT 2025","Thu Feb 06 06:49:28 GMT 2025","353","tests","Карточка товара","TestProductPage","","","Проверка удаления товара из корзины со страницы карточки товара",""
"passed","Thu Feb 06 06:49:13 GMT 2025","Thu Feb 06 06:49:13 GMT 2025","67","tests","Страница все товары","TestAllProductsPage","","","Содержание дропдауна фильтрации страницы все товары",""
"passed","Thu Feb 06 06:49:24 GMT 2025","Thu Feb 06 06:49:25 GMT 2025","383","tests","Страница завершения покупки","TestOverviewPage","","","Покупка товаров",""
"passed","Thu Feb 06 06:49:21 GMT 2025","Thu Feb 06 06:49:21 GMT 2025","246","tests","Страница завершения покупки","TestOverviewPage","","","Проверка отображения страницы Завершения покупки",""
"passed","Thu Feb 06 06:49:17 GMT 2025","Thu Feb 06 06:49:17 GMT 2025","385","tests","Авторизация","TestLoginPage","","","Корректная авторизация",""
"passed","Thu Feb 06 06:49:14 GMT 2025","Thu Feb 06 06:49:14 GMT 2025","64","tests","Страница все товары","TestAllProductsPage","","","Фильтрация товаров по имени",""
"passed","Thu Feb 06 06:49:25 GMT 2025","Thu Feb 06 06:49:26 GMT 2025","82","tests","Карточка товара","TestProductPage","","","Проверка отображения карточки товара",""
"passed","Thu Feb 06 06:49:29 GMT 2025","Thu Feb 06 06:49:30 GMT 2025","510","tests","Информация о покупателе","TestYourInformationPage","","","Проверка заполнения полей страницы Информация о покупателе",""
"passed","Thu Feb 06 06:49:18 GMT 2025","Thu Feb 06 06:49:19 GMT 2025","736","tests","Авторизация","TestLoginPage","","","Авторизация с не корректным логином или паролем",""
"passed","Thu Feb 06 06:49:29 GMT 2025","Thu Feb 06 06:49:29 GMT 2025","124","tests","Информация о покупателе","TestYourInformationPage","","","Проверка отображения страницы Информация о покупателе",""
"passed","Thu Feb 06 06:49:15 GMT 2025","Thu Feb 06 06:49:16 GMT 2025","132","tests","Корзина","TestCartPage","","","Проверка отображения страницы Корзина",""
