"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 06:47:03 GMT 2025","Thu Feb 06 06:47:03 GMT 2025","93","tests","Карточка товара","TestProductPage","","","Проверка отображения карточки товара",""
"passed","Thu Feb 06 06:47:04 GMT 2025","Thu Feb 06 06:47:05 GMT 2025","335","tests","Карточка товара","TestProductPage","","","Проверка удаления товара из корзины со страницы карточки товара",""
"passed","Thu Feb 06 06:47:07 GMT 2025","Thu Feb 06 06:47:07 GMT 2025","538","tests","Информация о покупателе","TestYourInformationPage","","","Проверка заполнения полей страницы Информация о покупателе",""
"passed","Thu Feb 06 06:46:58 GMT 2025","Thu Feb 06 06:46:58 GMT 2025","258","tests","Страница завершения покупки","TestOverviewPage","","","Проверка отображения страницы Завершения покупки",""
"passed","Thu Feb 06 06:46:55 GMT 2025","Thu Feb 06 06:46:56 GMT 2025","375","tests","Авторизация","TestLoginPage","","","Корректная авторизация",""
"passed","Thu Feb 06 06:46:56 GMT 2025","Thu Feb 06 06:46:56 GMT 2025","306","tests","Авторизация","TestLoginPage","","","Авторизация с не корректным логином или паролем",""
"passed","Thu Feb 06 06:46:51 GMT 2025","Thu Feb 06 06:46:51 GMT 2025","59","tests","Страница все товары","TestAllProductsPage","","","Содержание дропдауна фильтрации страницы все товары",""
"passed","Thu Feb 06 06:46:49 GMT 2025","Thu Feb 06 06:46:49 GMT 2025","153","tests","Страница все товары","TestAllProductsPage","","","Проверка добавления двух товаров в корзину со страницы все товары",""
"passed","Thu Feb 06 06:46:50 GMT 2025","Thu Feb 06 06:46:50 GMT 2025","342","tests","Страница все товары","TestAllProductsPage","","","Удаление товаров со страницы Все товары",""
"passed","Thu Feb 06 06:46:54 GMT 2025","Thu Feb 06 06:46:54 GMT 2025","131","tests","Корзина","TestCartPage","","","Проверка отображения страницы Корзина",""
"passed","Thu Feb 06 06:47:04 GMT 2025","Thu Feb 06 06:47:04 GMT 2025","155","tests","Карточка товара","TestProductPage","","","Проверка добавления товара в корзину из карточки товара",""
"passed","Thu Feb 06 06:46:48 GMT 2025","Thu Feb 06 06:46:48 GMT 2025","38","tests","Страница все товары","TestAllProductsPage","","","Проверка отображения страницы все товары",""
"passed","Thu Feb 06 06:46:55 GMT 2025","Thu Feb 06 06:46:55 GMT 2025","197","tests","Корзина","TestCartPage","","","Удаление товара из корзины",""
"passed","Thu Feb 06 06:46:59 GMT 2025","Thu Feb 06 06:46:59 GMT 2025","336","tests","Страница завершения покупки","TestOverviewPage","","","Проверка корректности расчета суммы всех товаров",""
"passed","Thu Feb 06 06:47:00 GMT 2025","Thu Feb 06 06:47:00 GMT 2025","348","tests","Страница завершения покупки","TestOverviewPage","","","Проверка отображения страницы Завершения покупки с добавленными товарами",""
"passed","Thu Feb 06 06:46:53 GMT 2025","Thu Feb 06 06:46:53 GMT 2025","63","tests","Страница все товары","TestAllProductsPage","","","Фильтрация товаров по цене",""
"passed","Thu Feb 06 06:47:06 GMT 2025","Thu Feb 06 06:47:06 GMT 2025","118","tests","Информация о покупателе","TestYourInformationPage","","","Проверка отображения страницы Информация о покупателе",""
"passed","Thu Feb 06 06:46:52 GMT 2025","Thu Feb 06 06:46:52 GMT 2025","60","tests","Страница все товары","TestAllProductsPage","","","Фильтрация товаров по имени",""
"passed","Thu Feb 06 06:47:01 GMT 2025","Thu Feb 06 06:47:02 GMT 2025","386","tests","Страница завершения покупки","TestOverviewPage","","","Покупка товаров",""
"passed","Thu Feb 06 06:46:57 GMT 2025","Thu Feb 06 06:46:57 GMT 2025","311","tests","Авторизация","TestLoginPage","","","Авторизация с не корректным логином или паролем",""
